

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
114.099  000.565  000.117: require('mason-core.fetch')
114.201  000.100  000.100: require('mason-core.providers')
114.643  000.112  000.112: require('mason-core.installer.registry.expr')
114.647  000.292  000.180: require('mason-core.installer.registry.link')
115.363  000.111  000.111: require('mason-core.receipt')
115.374  000.310  000.198: require('mason-core.installer.context')
115.471  000.096  000.096: require('mason-core.async.control')
115.595  000.122  000.122: require('mason-core.installer.linker')
115.609  000.710  000.182: require('mason-core.installer')
115.616  000.873  000.163: require('mason-core.installer.managers.std')
115.618  000.970  000.097: require('mason-core.installer.registry.schemas')
115.715  000.097  000.097: require('mason-core.installer.registry.util')
115.720  001.518  000.160: require('mason-core.installer.registry')
115.743  002.825  000.168: require('mason-registry.sources.github')
119.161  000.078  000.078: require('mason-core.functional.number')
119.171  000.224  000.146: require('mason-lspconfig.api.command')
119.248  000.076  000.076: require('mason-null-ls.settings')
119.341  000.087  000.087: require('mason-null-ls.ensure_installed')
119.497  000.097  000.097: require('mason-null-ls.automatic_installation')
119.706  000.073  000.073: require('mason-core.notify')
119.717  000.213  000.140: require('mason-null-ls.api.command')
119.718  018.146  003.441: require('abraxas.default.plugins.lsp.mason')
119.888  000.110  000.110: require('lspsaga')
120.067  000.091  000.091: require('lspsaga.highlight')
120.261  000.112  000.112: require('lspsaga.lspkind')
121.003  000.165  000.165: require('lspsaga.lightbulb')
121.014  001.296  000.818: require('abraxas.default.plugins.lsp.lspsaga')
121.207  000.096  000.096: require('lspconfig')
121.397  000.100  000.100: require('cmp_nvim_lsp.source')
121.398  000.191  000.090: require('cmp_nvim_lsp')
121.643  000.128  000.128: require('typescript.config')
122.167  000.093  000.093: require('typescript.types.methods')
122.264  000.097  000.097: require('typescript.utils')
122.265  000.284  000.094: require('typescript.execute-command')
122.366  000.100  000.100: require('typescript.types.workspace-commands')
122.367  000.495  000.112: require('typescript.go-to-source-definition')
122.540  000.173  000.173: require('typescript.rename-file')
122.670  000.129  000.129: require('typescript.source-actions')
122.671  000.914  000.118: require('typescript.commands')
122.774  000.103  000.103: require('typescript.handlers')
